2022-04-19 13:42:00,936 - INFO - **************common.configs**********
2022-04-19 13:42:00,936 - INFO - use_gpu: True, use_xpu: False, use_npu: False, use_visual: False, train_batch_size: 2000, train_data_dir: ./data/whole_data/train, epochs: 6, print_interval: 100, model_save_path: output_model_aitm2/
2022-04-19 13:42:00,936 - INFO - **************common.configs**********
W0419 13:42:00.938179 38848 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 11.6, Runtime API Version: 10.1
W0419 13:42:00.946969 38848 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2022-04-19 13:42:03,061 - INFO - read data
2022-04-19 13:42:03,062 - INFO - reader path:reader
start load data from: /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/train/ctr_cvr.train
load data from /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/train/ctr_cvr.train finished
2022-04-19 13:48:18,313 - INFO - epoch: 0, batch_id: 2000, click_auc:0.502123, purchase_auc:0.497198, loss:0.1794438, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.22076 sec, avg_samples: 2000.00000, ips: 9059.47205 ins/s
2022-04-19 13:48:23,206 - INFO - epoch: 0, batch_id: 2100, click_auc:0.502365, purchase_auc:0.499852, loss:0.20340244, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04742 sec, avg_samples: 2000.00000, ips: 42174.72686 ins/s
2022-04-19 13:48:28,011 - INFO - epoch: 0, batch_id: 2200, click_auc:0.502720, purchase_auc:0.504329, loss:0.17614603, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04676 sec, avg_samples: 2000.00000, ips: 42770.52346 ins/s
2022-04-19 13:48:33,024 - INFO - epoch: 0, batch_id: 2300, click_auc:0.502954, purchase_auc:0.503815, loss:0.16666429, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04865 sec, avg_samples: 2000.00000, ips: 41106.15365 ins/s
2022-04-19 13:48:38,244 - INFO - epoch: 0, batch_id: 2400, click_auc:0.503352, purchase_auc:0.503119, loss:0.19041535, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05072 sec, avg_samples: 2000.00000, ips: 39432.64356 ins/s
2022-04-19 13:48:42,583 - INFO - epoch: 0, batch_id: 2500, click_auc:0.503741, purchase_auc:0.502658, loss:0.20490108, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.04191 sec, avg_samples: 2000.00000, ips: 47721.66066 ins/s
2022-04-19 13:48:48,360 - INFO - epoch: 0, batch_id: 2600, click_auc:0.503981, purchase_auc:0.502416, loss:0.17667942, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05628 sec, avg_samples: 2000.00000, ips: 35539.13338 ins/s
2022-04-19 13:48:53,935 - INFO - epoch: 0, batch_id: 2700, click_auc:0.504244, purchase_auc:0.502470, loss:0.16115585, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05419 sec, avg_samples: 2000.00000, ips: 36907.52655 ins/s
2022-04-19 13:48:59,183 - INFO - epoch: 0, batch_id: 2800, click_auc:0.504717, purchase_auc:0.501227, loss:0.19359879, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05122 sec, avg_samples: 2000.00000, ips: 39043.78698 ins/s
2022-04-19 13:49:04,259 - INFO - epoch: 0, batch_id: 2900, click_auc:0.505220, purchase_auc:0.500060, loss:0.2099169, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04927 sec, avg_samples: 2000.00000, ips: 40596.06068 ins/s
2022-04-19 13:49:09,955 - INFO - epoch: 0, batch_id: 3000, click_auc:0.505646, purchase_auc:0.501485, loss:0.18291178, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05547 sec, avg_samples: 2000.00000, ips: 36054.32031 ins/s
2022-04-19 13:49:15,480 - INFO - epoch: 0, batch_id: 3100, click_auc:0.506077, purchase_auc:0.501307, loss:0.17348023, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05375 sec, avg_samples: 2000.00000, ips: 37207.86480 ins/s
2022-04-19 13:49:20,877 - INFO - epoch: 0, batch_id: 3200, click_auc:0.506640, purchase_auc:0.500240, loss:0.19303015, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05270 sec, avg_samples: 2000.00000, ips: 37953.00457 ins/s
2022-04-19 13:49:26,785 - INFO - epoch: 0, batch_id: 3300, click_auc:0.507288, purchase_auc:0.501184, loss:0.18977262, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05756 sec, avg_samples: 2000.00000, ips: 34745.80736 ins/s
2022-04-19 13:49:32,324 - INFO - epoch: 0, batch_id: 3400, click_auc:0.507787, purchase_auc:0.502006, loss:0.15380132, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05388 sec, avg_samples: 2000.00000, ips: 37118.03343 ins/s
2022-04-19 13:49:38,187 - INFO - epoch: 0, batch_id: 3500, click_auc:0.508380, purchase_auc:0.502343, loss:0.17662473, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05712 sec, avg_samples: 2000.00000, ips: 35017.02302 ins/s
2022-04-19 13:49:44,200 - INFO - epoch: 0, batch_id: 3600, click_auc:0.508964, purchase_auc:0.502935, loss:0.21738327, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05852 sec, avg_samples: 2000.00000, ips: 34175.83062 ins/s
2022-04-19 13:49:50,364 - INFO - epoch: 0, batch_id: 3700, click_auc:0.509556, purchase_auc:0.503301, loss:0.20175488, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.06011 sec, avg_samples: 2000.00000, ips: 33271.32365 ins/s
2022-04-19 13:49:56,412 - INFO - epoch: 0, batch_id: 3800, click_auc:0.510176, purchase_auc:0.502465, loss:0.20801814, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05896 sec, avg_samples: 2000.00000, ips: 33923.49383 ins/s
