2022-04-19 14:10:40,207 - INFO - **************common.configs**********
2022-04-19 14:10:40,207 - INFO - use_gpu: True, use_xpu: False, use_npu: False, use_visual: False, infer_batch_size: 2000, test_data_dir: ./data/whole_data/test, start_epoch: 0, end_epoch: 6, print_interval: 100, model_load_path: output_model_aitm2/
2022-04-19 14:10:40,207 - INFO - **************common.configs**********
W0419 14:10:40.208701 40137 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 11.6, Runtime API Version: 10.1
W0419 14:10:40.213891 40137 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2022-04-19 14:10:42,402 - INFO - read data
2022-04-19 14:10:42,402 - INFO - reader path:reader
start load data from: /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/test/ctr_cvr.test
load data from /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/test/ctr_cvr.test finished
2022-04-19 14:15:15,283 - INFO - load model epoch 0
2022-04-19 14:15:15,283 - INFO - start load model from output_model_aitm2/0
2022-04-19 14:17:06,802 - INFO - epoch: 0, batch_id: 2100, click_auc: 0.618401,purchase_auc: 0.613868, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.04228 sec, avg_samples: 2000.00000, ips: 45899.14 ins/s
2022-04-19 14:17:11,020 - INFO - epoch: 0, batch_id: 2200, click_auc: 0.618585,purchase_auc: 0.616489, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04109 sec, avg_samples: 2000.00000, ips: 47421.01 ins/s
2022-04-19 14:17:15,472 - INFO - epoch: 0, batch_id: 2300, click_auc: 0.618465,purchase_auc: 0.615239, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04339 sec, avg_samples: 2000.00000, ips: 44918.19 ins/s
2022-04-19 14:17:20,041 - INFO - epoch: 0, batch_id: 2400, click_auc: 0.618292,purchase_auc: 0.611294, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04440 sec, avg_samples: 2000.00000, ips: 43778.90 ins/s
2022-04-19 14:17:24,579 - INFO - epoch: 0, batch_id: 2500, click_auc: 0.618285,purchase_auc: 0.611577, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04424 sec, avg_samples: 2000.00000, ips: 44072.47 ins/s
2022-04-19 14:17:28,471 - INFO - epoch: 0, batch_id: 2600, click_auc: 0.618209,purchase_auc: 0.611208, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.03797 sec, avg_samples: 2000.00000, ips: 51395.60 ins/s
2022-04-19 14:17:32,797 - INFO - epoch: 0, batch_id: 2700, click_auc: 0.618425,purchase_auc: 0.608881, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04213 sec, avg_samples: 2000.00000, ips: 46232.54 ins/s
2022-04-19 14:17:37,104 - INFO - epoch: 0, batch_id: 2800, click_auc: 0.618468,purchase_auc: 0.608222, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04199 sec, avg_samples: 2000.00000, ips: 46438.93 ins/s
2022-04-19 14:17:41,175 - INFO - epoch: 0, batch_id: 2900, click_auc: 0.618356,purchase_auc: 0.609390, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03977 sec, avg_samples: 2000.00000, ips: 49130.18 ins/s
2022-04-19 14:17:45,395 - INFO - epoch: 0, batch_id: 3000, click_auc: 0.618256,purchase_auc: 0.611255, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04107 sec, avg_samples: 2000.00000, ips: 47398.37 ins/s
2022-04-19 14:17:49,071 - INFO - epoch: 0, batch_id: 3100, click_auc: 0.618157,purchase_auc: 0.611958, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03579 sec, avg_samples: 2000.00000, ips: 54410.85 ins/s
2022-04-19 14:17:53,396 - INFO - epoch: 0, batch_id: 3200, click_auc: 0.618070,purchase_auc: 0.613759, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04211 sec, avg_samples: 2000.00000, ips: 46247.92 ins/s
2022-04-19 14:17:57,839 - INFO - epoch: 0, batch_id: 3300, click_auc: 0.617960,purchase_auc: 0.613034, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04298 sec, avg_samples: 2000.00000, ips: 45012.45 ins/s
2022-04-19 14:18:02,103 - INFO - epoch: 0, batch_id: 3400, click_auc: 0.617828,purchase_auc: 0.611711, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04149 sec, avg_samples: 2000.00000, ips: 46914.35 ins/s
2022-04-19 14:18:06,244 - INFO - epoch: 0, batch_id: 3500, click_auc: 0.617972,purchase_auc: 0.612080, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04026 sec, avg_samples: 2000.00000, ips: 48299.78 ins/s
2022-04-19 14:18:09,868 - INFO - epoch: 0, batch_id: 3600, click_auc: 0.618130,purchase_auc: 0.611513, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03529 sec, avg_samples: 2000.00000, ips: 55195.77 ins/s
2022-04-19 14:18:14,314 - INFO - epoch: 0, batch_id: 3700, click_auc: 0.618242,purchase_auc: 0.610776, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04329 sec, avg_samples: 2000.00000, ips: 44988.65 ins/s
2022-04-19 14:18:17,801 - INFO - epoch: 0, batch_id: 3800, click_auc: 0.618257,purchase_auc: 0.610092, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03391 sec, avg_samples: 2000.00000, ips: 57353.19 ins/s
2022-04-19 14:18:21,554 - INFO - epoch: 0, batch_id: 3900, click_auc: 0.618354,purchase_auc: 0.609746, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.03640 sec, avg_samples: 2000.00000, ips: 53290.32 ins/s
2022-04-19 14:18:25,832 - INFO - epoch: 0, batch_id: 4000, click_auc: 0.618213,purchase_auc: 0.609840, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04164 sec, avg_samples: 2000.00000, ips: 46757.89 ins/s
2022-04-19 14:18:29,742 - INFO - epoch: 0, batch_id: 4100, click_auc: 0.618410,purchase_auc: 0.609443, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03808 sec, avg_samples: 2000.00000, ips: 51161.29 ins/s
2022-04-19 14:18:34,141 - INFO - epoch: 0, batch_id: 4200, click_auc: 0.618530,purchase_auc: 0.609997, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04281 sec, avg_samples: 2000.00000, ips: 45468.43 ins/s
2022-04-19 14:18:37,986 - INFO - epoch: 0, batch_id: 4300, click_auc: 0.618328,purchase_auc: 0.611212, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03751 sec, avg_samples: 2000.00000, ips: 52012.50 ins/s
2022-04-19 14:18:41,846 - INFO - epoch: 0, batch_id: 4400, click_auc: 0.618417,purchase_auc: 0.611065, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03743 sec, avg_samples: 2000.00000, ips: 51824.71 ins/s
2022-04-19 14:18:45,877 - INFO - epoch: 0, batch_id: 4500, click_auc: 0.618381,purchase_auc: 0.609509, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.03923 sec, avg_samples: 2000.00000, ips: 49618.09 ins/s
2022-04-19 14:18:50,112 - INFO - epoch: 0, batch_id: 4600, click_auc: 0.618231,purchase_auc: 0.610401, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04090 sec, avg_samples: 2000.00000, ips: 47222.67 ins/s
2022-04-19 14:18:54,031 - INFO - epoch: 0, batch_id: 4700, click_auc: 0.618260,purchase_auc: 0.610828, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03824 sec, avg_samples: 2000.00000, ips: 51044.78 ins/s
2022-04-19 14:19:19,432 - INFO - epoch: 0, batch_id: 4800, click_auc: 0.618252,purchase_auc: 0.611291, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.25307 sec, avg_samples: 2000.00000, ips: 7873.82 ins/s
2022-04-19 14:19:23,627 - INFO - epoch: 0, batch_id: 4900, click_auc: 0.618338,purchase_auc: 0.610850, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04095 sec, avg_samples: 2000.00000, ips: 47677.66 ins/s
2022-04-19 14:19:28,006 - INFO - epoch: 0, batch_id: 5000, click_auc: 0.618303,purchase_auc: 0.611183, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04243 sec, avg_samples: 2000.00000, ips: 45672.94 ins/s
2022-04-19 14:19:32,227 - INFO - epoch: 0, batch_id: 5100, click_auc: 0.618470,purchase_auc: 0.610520, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04128 sec, avg_samples: 2000.00000, ips: 47380.58 ins/s
2022-04-19 14:19:36,331 - INFO - epoch: 0, batch_id: 5200, click_auc: 0.618449,purchase_auc: 0.610445, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04010 sec, avg_samples: 2000.00000, ips: 48738.21 ins/s
