2021-12-20 18:41:12,287 - INFO - **************common.configs**********
2021-12-20 18:41:12,287 - INFO - use_gpu: True, use_xpu: False, use_visual: False, infer_batch_size: 2000, test_data_dir: data/whole_data/test, start_epoch: 0, end_epoch: 1, print_interval: 50, model_load_path: output_model_all_autodeepfm
2021-12-20 18:41:12,287 - INFO - **************common.configs**********
W1220 18:41:12.289043 17996 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 18:41:12.294060 17996 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 18:41:17,189 - INFO - read data
2021-12-20 18:41:17,189 - INFO - reader path:criteo_reader
2021-12-20 18:41:19,038 - INFO - load model epoch 0
2021-12-20 18:41:19,038 - INFO - start load model from output_model_all_autodeepfm/0
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
2021-12-20 18:42:24,733 - INFO - epoch: 0, batch_id: 1200, auc: 0.805105, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05457 sec, avg_samples: 2000.00000, ips: 36599.70 ins/s
2021-12-20 18:42:27,459 - INFO - epoch: 0, batch_id: 1250, auc: 0.805053, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05445 sec, avg_samples: 2000.00000, ips: 36680.81 ins/s
2021-12-20 18:42:30,336 - INFO - epoch: 0, batch_id: 1300, auc: 0.805032, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05745 sec, avg_samples: 2000.00000, ips: 34771.23 ins/s
2021-12-20 18:42:32,987 - INFO - epoch: 0, batch_id: 1350, auc: 0.805040, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05294 sec, avg_samples: 2000.00000, ips: 37723.11 ins/s
2021-12-20 18:42:35,656 - INFO - epoch: 0, batch_id: 1400, auc: 0.805036, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.05331 sec, avg_samples: 2000.00000, ips: 37461.18 ins/s
2021-12-20 18:42:38,348 - INFO - epoch: 0, batch_id: 1450, auc: 0.805009, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.05375 sec, avg_samples: 2000.00000, ips: 37150.66 ins/s
2021-12-20 18:42:41,002 - INFO - epoch: 0, batch_id: 1500, auc: 0.804946, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05299 sec, avg_samples: 2000.00000, ips: 37691.17 ins/s
2021-12-20 18:42:43,705 - INFO - epoch: 0, batch_id: 1550, auc: 0.804833, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05398 sec, avg_samples: 2000.00000, ips: 36999.89 ins/s
2021-12-20 18:42:46,373 - INFO - epoch: 0, batch_id: 1600, auc: 0.804815, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05328 sec, avg_samples: 2000.00000, ips: 37484.42 ins/s
2021-12-20 18:42:49,011 - INFO - epoch: 0, batch_id: 1650, auc: 0.804737, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.05269 sec, avg_samples: 2000.00000, ips: 37901.85 ins/s
2021-12-20 18:42:51,726 - INFO - epoch: 0, batch_id: 1700, auc: 0.804676, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05421 sec, avg_samples: 2000.00000, ips: 36841.05 ins/s
2021-12-20 18:42:54,381 - INFO - epoch: 0, batch_id: 1750, auc: 0.804685, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05302 sec, avg_samples: 2000.00000, ips: 37669.47 ins/s
2021-12-20 18:42:57,089 - INFO - epoch: 0, batch_id: 1800, auc: 0.804622, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05408 sec, avg_samples: 2000.00000, ips: 36930.31 ins/s
2021-12-20 18:42:59,749 - INFO - epoch: 0, batch_id: 1850, auc: 0.804602, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05312 sec, avg_samples: 2000.00000, ips: 37592.15 ins/s
2021-12-20 18:43:02,423 - INFO - epoch: 0, batch_id: 1900, auc: 0.804556, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05338 sec, avg_samples: 2000.00000, ips: 37412.17 ins/s
2021-12-20 18:43:05,106 - INFO - epoch: 0, batch_id: 1950, auc: 0.804564, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05358 sec, avg_samples: 2000.00000, ips: 37274.50 ins/s
2021-12-20 18:43:07,838 - INFO - epoch: 0, batch_id: 2000, auc: 0.804557, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.05457 sec, avg_samples: 2000.00000, ips: 36599.81 ins/s
