2021-12-20 16:34:03,274 - INFO - **************common.configs**********
2021-12-20 16:34:03,274 - INFO - use_gpu: True, use_xpu: False, use_visual: False, train_batch_size: 2000, train_data_dir: data/whole_data/train, epochs: 1, print_interval: 50, model_save_path: output_model_all_autodeepfm
2021-12-20 16:34:03,274 - INFO - **************common.configs**********
W1220 16:34:03.276041  5239 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 16:34:03.281190  5239 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 16:34:09,232 - INFO - read data
2021-12-20 16:34:09,232 - INFO - reader path:criteo_reader
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/fluid/dygraph/varbase_patch_methods.py:392: UserWarning: [93m
Warning:
tensor.grad will return the tensor value of the gradient. This is an incompatible upgrade for tensor.grad API.  It's return type changes from numpy.ndarray in version 2.0 to paddle.Tensor in version 2.1.0.  If you want to get the numpy value of the gradient, you can use :code:`x.grad.numpy()` [0m
  warnings.warn(warning_msg)
2021-12-20 16:36:59,136 - INFO - epoch: 0, batch_id: 950, lr: 0.001, auc:0.726965, loss:0.59295774, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.16559 sec, avg_samples: 2000.00000, ips: 12077.67171 ins/s
2021-12-20 16:37:07,497 - INFO - epoch: 0, batch_id: 1000, lr: 0.001, auc:0.728619, loss:0.5700303, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.16682 sec, avg_samples: 2000.00000, ips: 11988.61638 ins/s
2021-12-20 16:37:15,789 - INFO - epoch: 0, batch_id: 1050, lr: 0.001, auc:0.730246, loss:0.58516586, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.16546 sec, avg_samples: 2000.00000, ips: 12087.32340 ins/s
2021-12-20 16:37:24,086 - INFO - epoch: 0, batch_id: 1100, lr: 0.001, auc:0.731728, loss:0.59167117, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.16555 sec, avg_samples: 2000.00000, ips: 12080.84048 ins/s
2021-12-20 16:37:31,255 - INFO - epoch: 0, batch_id: 1150, lr: 0.001, auc:0.733171, loss:0.574527, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.14301 sec, avg_samples: 2000.00000, ips: 13984.63069 ins/s
2021-12-20 16:37:39,182 - INFO - epoch: 0, batch_id: 1200, lr: 0.001, auc:0.734452, loss:0.5841855, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.15815 sec, avg_samples: 2000.00000, ips: 12645.88103 ins/s
2021-12-20 16:37:47,183 - INFO - epoch: 0, batch_id: 1250, lr: 0.001, auc:0.735766, loss:0.5778863, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.15961 sec, avg_samples: 2000.00000, ips: 12530.42643 ins/s
2021-12-20 16:37:55,276 - INFO - epoch: 0, batch_id: 1300, lr: 0.001, auc:0.737083, loss:0.5781181, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.16146 sec, avg_samples: 2000.00000, ips: 12386.85996 ins/s
2021-12-20 16:38:03,772 - INFO - epoch: 0, batch_id: 1350, lr: 0.001, auc:0.738270, loss:0.56608015, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.16924 sec, avg_samples: 2000.00000, ips: 11817.46312 ins/s
2021-12-20 16:38:12,017 - INFO - epoch: 0, batch_id: 1400, lr: 0.001, auc:0.739361, loss:0.5511084, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.16451 sec, avg_samples: 2000.00000, ips: 12157.01599 ins/s
2021-12-20 16:38:20,318 - INFO - epoch: 0, batch_id: 1450, lr: 0.001, auc:0.740498, loss:0.5853675, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.16564 sec, avg_samples: 2000.00000, ips: 12074.27554 ins/s
2021-12-20 16:38:28,743 - INFO - epoch: 0, batch_id: 1500, lr: 0.001, auc:0.741513, loss:0.58271176, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.16781 sec, avg_samples: 2000.00000, ips: 11918.38301 ins/s
2021-12-20 16:38:33,719 - INFO - epoch: 0, batch_id: 1550, lr: 0.001, auc:0.742451, loss:0.58754736, avg_reader_cost: 0.00037 sec, avg_batch_cost: 0.09918 sec, avg_samples: 2000.00000, ips: 20166.33181 ins/s
2021-12-20 16:38:37,873 - INFO - epoch: 0, batch_id: 1600, lr: 0.001, auc:0.743372, loss:0.58712614, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08271 sec, avg_samples: 2000.00000, ips: 24181.95923 ins/s
2021-12-20 16:38:41,982 - INFO - epoch: 0, batch_id: 1650, lr: 0.001, auc:0.744232, loss:0.5844039, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08185 sec, avg_samples: 2000.00000, ips: 24434.87523 ins/s
2021-12-20 16:38:46,124 - INFO - epoch: 0, batch_id: 1700, lr: 0.001, auc:0.745106, loss:0.5751758, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08250 sec, avg_samples: 2000.00000, ips: 24241.10721 ins/s
2021-12-20 16:38:50,350 - INFO - epoch: 0, batch_id: 1750, lr: 0.001, auc:0.745871, loss:0.5535608, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08417 sec, avg_samples: 2000.00000, ips: 23761.57436 ins/s
2021-12-20 16:38:54,477 - INFO - epoch: 0, batch_id: 1800, lr: 0.001, auc:0.746701, loss:0.5651159, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08220 sec, avg_samples: 2000.00000, ips: 24332.20791 ins/s
2021-12-20 16:38:58,553 - INFO - epoch: 0, batch_id: 1850, lr: 0.001, auc:0.747487, loss:0.57707185, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08116 sec, avg_samples: 2000.00000, ips: 24642.41854 ins/s
