2021-12-20 17:38:28,908 - INFO - **************common.configs**********
2021-12-20 17:38:28,908 - INFO - use_gpu: True, use_xpu: False, use_visual: False, train_batch_size: 2000, train_data_dir: data/whole_data/train, epochs: 1, print_interval: 50, model_save_path: output_model_all_autodeepfm
2021-12-20 17:38:28,908 - INFO - **************common.configs**********
W1220 17:38:28.909716 11696 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 17:38:28.914793 11696 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 17:38:35,125 - INFO - read data
2021-12-20 17:38:35,125 - INFO - reader path:criteo_reader
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
2021-12-20 17:41:24,392 - INFO - epoch: 0, batch_id: 1050, lr: 0.001, auc:0.756662, loss:0.5854143, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.15068 sec, avg_samples: 2000.00000, ips: 13272.90979 ins/s
2021-12-20 17:41:31,808 - INFO - epoch: 0, batch_id: 1100, lr: 0.001, auc:0.757463, loss:0.5886976, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14695 sec, avg_samples: 2000.00000, ips: 13610.19186 ins/s
2021-12-20 17:41:39,339 - INFO - epoch: 0, batch_id: 1150, lr: 0.001, auc:0.758232, loss:0.57051027, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14940 sec, avg_samples: 2000.00000, ips: 13386.77698 ins/s
2021-12-20 17:41:46,752 - INFO - epoch: 0, batch_id: 1200, lr: 0.001, auc:0.758824, loss:0.57820106, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14704 sec, avg_samples: 2000.00000, ips: 13602.19581 ins/s
2021-12-20 17:41:54,334 - INFO - epoch: 0, batch_id: 1250, lr: 0.001, auc:0.759522, loss:0.5733449, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.15046 sec, avg_samples: 2000.00000, ips: 13292.56692 ins/s
2021-12-20 17:42:01,748 - INFO - epoch: 0, batch_id: 1300, lr: 0.001, auc:0.760233, loss:0.57052183, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.14712 sec, avg_samples: 2000.00000, ips: 13593.88883 ins/s
2021-12-20 17:42:09,221 - INFO - epoch: 0, batch_id: 1350, lr: 0.001, auc:0.760866, loss:0.5653706, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14814 sec, avg_samples: 2000.00000, ips: 13501.09573 ins/s
2021-12-20 17:42:16,777 - INFO - epoch: 0, batch_id: 1400, lr: 0.001, auc:0.761399, loss:0.55250883, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14979 sec, avg_samples: 2000.00000, ips: 13351.99931 ins/s
2021-12-20 17:42:24,258 - INFO - epoch: 0, batch_id: 1450, lr: 0.001, auc:0.762019, loss:0.57634985, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.14817 sec, avg_samples: 2000.00000, ips: 13498.36664 ins/s
2021-12-20 17:42:31,729 - INFO - epoch: 0, batch_id: 1500, lr: 0.001, auc:0.762535, loss:0.5826976, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14814 sec, avg_samples: 2000.00000, ips: 13501.03880 ins/s
