0.02	0.0364	0.0659
0.0354	0.0618	0.1096
0.0465	0.077	0.1381
0.0522	0.0849	0.1508
0.0522	0.0914	0.1581
0.0531	0.0942	0.1596
0.0536	0.0964	0.1634
0.0565	0.0975	0.1644
0.0568	0.099	0.1652
0.0553	0.099	0.1659
0.0555	0.1002	0.1664
0.0576	0.0985	0.1669
0.0576	0.0982	0.1675
0.0565	0.0983	0.1675
0.0578	0.0985	0.1667
0.0581	0.098	0.1672
0.0584	0.0982	0.1674
0.0581	0.0978	0.1682
0.0579	0.0974	0.1677
0.0583	0.0975	0.1687
0.0583	0.0982	0.1689
0.0599	0.0982	0.168
0.0588	0.0985	0.1675
0.0586	0.0985	0.1684
0.0591	0.0985	0.1685
0.0589	0.098	0.1689
0.0599	0.0992	0.1684
0.0589	0.099	0.1677
0.0584	0.0987	0.1677
0.0589	0.0985	0.168
0.0593	0.0988	0.1677
0.0586	0.0992	0.1684
0.0589	0.0995	0.1684
0.0584	0.0992	0.1677
0.0581	0.0998	0.1679
0.0578	0.0993	0.168
0.0581	0.0995	0.1677
0.0584	0.099	0.1671
0.0581	0.0987	0.1669
0.0583	0.0985	0.1669
0.0578	0.099	0.1669
0.0578	0.0987	0.1669
0.0576	0.0987	0.1671
0.057	0.0987	0.1671
0.0575	0.099	0.1666
0.0571	0.0988	0.1664
0.0575	0.0983	0.1666
0.0578	0.0997	0.1664
0.0579	0.0993	0.1664
0.0578	0.0995	0.1664
0.0575	0.0987	0.1659
